册,课,序号,汉字,拼音（带声调）,拼音（不带声调）
1,12,9,只,zhi3,zhi
1,12,10,想,xiang3,xiang
1,12,11,玩,wan2,wan
1,12,12,具,ju4,ju
1,12,13,喜,xi3,xi
1,12,14,欢,huan1,huan
1,12,15,就,jiu4,jiu
1,12,16,给,gei3,gei
1,13,1,古,gu3,gu
1,13,2,老,lao3,lao
1,13,3,皇,huang2,huang
1,13,4,帝,di4,di
1,13,5,早,zao3,zao
1,13,6,晚,wan3,wan
1,13,7,平,ping2,ping
1,13,8,静,jing4,jing
1,13,9,昨,zuo2,zuo
1,13,10,夜,ye4,ye
1,13,11,肚,du4,du
1,13,12,痛,tong4,tong
1,13,13,哎,ai1,ai
1,13,14,哟,yo1,yo
1,13,15,坏,huai4,huai
1,13,16,啦,la5,la
1,14,1,两,liang3,liang
1,14,2,只,zhi1,zhi
1,14,3,狐,hu2,hu
1,14,4,狸,li2,li
1,14,5,很,hen3,hen
1,14,6,怕,pa4,pa
1,14,7,冻,dong4,dong
1,14,8,死,si3,si
1,14,9,抓,zhua1,zhua
1,14,10,爬,pa2,pa
1,14,11,尾,wei3,wei
1,14,12,巴,ba1,ba
1,14,13,没,mei2,mei
1,14,14,吃,chi1,chi
1,14,15,喊,han3,han
1,14,16,吧,ba5,ba
1,15,1,桃,tao2,tao
1,15,2,梨,li2,li
1,15,3,桔,ju2,ju
1,15,4,苹,ping2,ping
1,15,5,葡,pu2,pu
1,15,6,萄,tao2,tao
1,15,7,香,xiang1,xiang
1,15,8,蕉,jiao1,jiao
1,15,9,万,wan4,wan
1,15,10,斤,jin1,jin
1,15,11,水,shui3,shui
1,15,12,果,guo3,guo
1,15,13,瓜,gua1,gua
1,15,14,汁,zhi1,zhi
1,15,15,分,fen1,fen
1,15,16,享,xiang3,xiang
1,16,1,鱼,yu2,yu
1,16,2,肉,rou4,rou
1,16,3,鸟,niao3,niao
1,16,4,蛋,dan4,dan
1,16,5,面,mian4,mian
1,16,6,条,tiao2,tiao
1,16,7,米,mi3,mi
1,16,8,饭,fan4,fan
1,16,9,萝,luo2,luo
1,16,10,卜,bo5,bo
1,16,11,青,qing1,qing
1,16,12,椒,jiao1,jiao
1,16,13,绿,lyu4,lv
1,16,14,豆,dou4,dou
1,16,15,蔬,shu1,shu
1,16,16,菜,cai4,cai
1,17,1,某,mou3,mou
1,17,2,些,xie1,xie
1,17,3,蜜,mi4,mi
1,17,4,蜂,feng1,feng
1,17,5,翅,chi4,chi
1,17,6,膀,bang3,bang
1,17,7,关,guan1,guan
1,17,8,闭,bi4,bi
1,17,9,手,shou3,shou
1,17,10,脚,jiao3,jiao
1,17,11,合,he2,he
1,17,12,拍,pai1,pai
1,17,13,黑,hei1,hei
1,17,14,白,bai2,bai
1,17,15,空,kong4,kong
1,17,16,闲,xian2,xian
1,18,1,晨,chen2,chen
1,18,2,起,qi3,qi
1,18,3,穿,chuan1,chuan
1,18,4,衣,yi1,yi
1,18,5,单,dan1,dan
1,18,6,独,du2,du
1,18,7,洗,xi3,xi
1,18,8,澡,zao3,zao
1,18,9,干,gan1,gan
1,18,10,净,jing4,jing
1,18,11,钟,zhong1,zhong
1,18,12,点,dian3,dian
1,18,13,躺,tang3,tang
1,18,14,床,chuang2,chuang
1,18,15,睡,shui4,shui
1,18,16,觉,jiao4,jiao
1,19,1,父,fu4,fu
1,19,2,母,mu3,mu
1,19,3,后,hou4,hou
1,19,4,代,dai4,dai
1,19,5,姑,gu1,gu
1,19,6,娘,niang2,niang
1,19,7,兄,xiong1,xiong
1,19,8,长,zhang3,zhang
1,19,9,叔,shu1,shu
1,19,10,伯,bo2,bo
1,19,11,阿,a1,a
1,19,12,姨,yi2,yi
1,19,13,幸,xing4,xing
1,19,14,福,fu2,fu
1,19,15,久,jiu3,jiu
1,19,16,长,chang2,chang
1,20,1,幼,you4,you
1,20,2,童,tong2,tong
1,20,3,怎,zen3,zen
1,20,4,会,hui4,hui
1,20,5,吵,chao3,chao
1,20,6,闹,nao4,nao
1,20,7,无,wu2,wu
1,20,8,比,bi3,bi
1,20,9,大,dai4,da
1,20,10,夫,fu1,fu
1,20,11,回,hui2,hui
1,20,12,答,da2,da
1,20,13,立,li4,li
1,20,14,刻,ke4,ke
1,20,15,杀,sha1,sha
1,20,16,病,bing4,bing
