册,课,序号,汉字,拼音（带声调）,拼音（不带声调）
2,13,15,胜,sheng4,sheng
2,13,16,利,li4,li
2,14,1,圣,sheng4,sheng
2,14,2,诞,dan4,dan
2,14,3,挂,gua4,gua
2,14,4,旗,qi2,qi
2,14,5,元,yuan2,yuan
2,14,6,旦,dan4,dan
2,14,7,将,jiang1,jiang
2,14,8,近,jin4,jin
2,14,9,公,gong1,gong
2,14,10,共,gong4,gong
2,14,11,假,jia4,jia
2,14,12,期,qi1,qi
2,14,13,交,jiao1,jiao
2,14,14,换,huan4,huan
2,14,15,礼,li3,li
2,14,16,物,wu4,wu
2,15,1,新,xin1,xin
2,15,2,旧,jiu4,jiu
2,15,3,裤,ku4,ku
2,15,4,袜,wa4,wa
2,15,5,粗,cu1,cu
2,15,6,泥,ni2,ni
2,15,7,鞋,xie2,xie
2,15,8,帽,mao4,mao
2,15,9,各,ge4,ge
2,15,10,种,zhong3,zhong
2,15,11,买,mai3,mai
2,15,12,卖,mai4,mai
2,15,13,当,dang1,dang
2,15,14,街,jie1,jie
2,15,15,挑,tiao1,tiao
2,15,16,选,xuan3,xuan
2,16,1,窗,chuang1,chuang
2,16,2,台,tai2,tai
2,16,3,桌,zhuo1,zhuo
2,16,4,椅,yi3,yi
2,16,5,冰,bing1,bing
2,16,6,箱,xiang1,xiang
2,16,7,电,dian4,dian
2,16,8,视,shi4,shi
2,16,9,棉,mian2,mian
2,16,10,被,bei4,bei
2,16,11,围,wei2,wei
2,16,12,巾,jin1,jin
2,16,13,皮,pi2,pi
2,16,14,包,bao1,bao
2,16,15,领,ling3,ling
2,16,16,带,dai4,dai
2,17,1,矮,ai3,ai
2,17,2,笨,ben4,ben
2,17,3,企,qi3,qi
2,17,4,鹅,e2,e
2,17,5,取,qu3,qu
2,17,6,勺,shao2,shao
2,17,7,拿,na2,na
2,17,8,糖,tang2,tang
2,17,9,但,dan4,dan
2,17,10,却,que4,que
2,17,11,失,shi1,shi
2,17,12,败,bai4,bai
2,17,13,碰,peng4,peng
2,17,14,翻,fan1,fan
2,17,15,锅,guo1,guo
2,17,16,盖,gai4,gai
2,18,1,杯,bei1,bei
2,18,2,盘,pan2,pan
2,18,3,碗,wan3,wan
2,18,4,筷,kuai4,kuai
2,18,5,酸,suan1,suan
2,18,6,甜,tian2,tian
2,18,7,辣,la4,la
2,18,8,咸,xian2,xian
2,18,9,饱,bao3,bao
2,18,10,饿,e4,e
2,18,11,均,jun1,jun
2,18,12,匀,yun2,yun
2,18,13,注,zhu4,zhu
2,18,14,意,yi4,yi
2,18,15,油,you2,you
2,18,16,盐,yan2,yan
2,19,1,富,fu4,fu
2,19,2,贵,gui4,gui
2,19,3,珍,zhen1,zhen
2,19,4,珠,zhu1,zhu
2,19,5,玉,yu4,yu
2,19,6,兰,lan2,lan
2,19,7,满,man3,man
2,19,8,枝,zhi1,zhi
2,19,9,送,song4,song
2,19,10,往,wang3,wang
2,19,11,需,xu1,xu
2,19,12,盼,pan4,pan
2,19,13,可,ke3,ke
2,19,14,能,neng2,neng
2,19,15,归,gui1,gui
2,19,16,还,huan2,huan
2,20,1,甲,jia3,jia
2,20,2,乙,yi3,yi
2,20,3,丙,bing3,bing
2,20,4,丁,ding1,ding
2,20,5,之,zhi1,zhi
2,20,6,乎,hu1,hu
2,20,7,者,zhe3,zhe
2,20,8,也,ye3,ye
2,20,9,历,li4,li
2,20,10,史,shi3,shi
2,20,11,文,wen2,wen
2,20,12,化,hua4,hua
2,20,13,知,zhi1,zhi
2,20,14,足,zu2,zu
2,20,15,常,chang2,chang
2,20,16,乐,le4,le
